Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
Vote,Bitcoin-friendly city,"Directs staff to examine whether the city could use, hold, or accept Bitcoin.",2024-12-11,Pass,https://globalnews.ca/news/10913029/vancouver-bitcoin-motion-approved/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Opposed,Opposed,,,
,,,,,,,,,,,,,,,,,,
Vote,Pause Integrity Commissioner investigations,Temporarily pauses new and ongoing Integrity Commissioner investigations while Council reviews the office's scope and mandate.,2024-07-24,Pass,https://vancouver.citynews.ca/2024/07/29/vancouver-integrity-commissioner-pause-review/,Absent,Supported,Supported,Supported,Proposed,Supported,Supported,Absent,Absent,Opposed,Opposed,,
,,,,,,,,,,,,,,,,,,
Vote,Protecting Independence of Integrity Commissioner,"Adopts direct structural safeguards protecting the Integrity Commissioner from political interference, including protections recommended by Reece Harding's independent review.",2025-10-08,Fail,https://www.biv.com/news/economy-law-politics/vancouvers-first-ever-integrity-commissioner-to-make-exit-in-december-lisa-southern-11358221,Opposed,Opposed,Absent,Absent,Opposed,Amended,Opposed,Absent,Proposed,,,Supported,Supported
,,,,,,,,,,,,,,,,,,
Vote,Sanctioning Mayor Sim after Integrity Commissioner finding,Deciding whether to sanction Mayor Ken Sim after an independent investigation found that he misused the influence of his office and harassed Councillor Sean Orr.,2026-06-02,Fail,https://thetyee.ca/News/2026/06/03/Vancouver-Council-Mayor-Harassing-Councillor/,Absent,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Supported,Proposed,,,Supported,Supported
,,,,,,,,,,,,,,,,,,
Vote,Renter Office closure,"Renter Office helped with tenant rights. Cost $600,000/year to run.",2023-01-18,Pass,https://www.cbc.ca/news/canada/british-columbia/vancouver-renter-office-1.6718896,Supported,Supported,Supported,Supported,Proposed,Supported,Supported,Supported,Opposed,Opposed,Opposed,,
,,,,,,,,,,,,,,,,,,
Vote,Grandview Highway and Southeast Marine social housing,Approved two six-storey buildings providing 136 social-housing homes with supports.,2023-02-21,Pass,https://vancouver.citynews.ca/2023/02/15/vancouver-supportive-housing-italian-cultural-centre/,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9051,6.CD-1 Rezoning: 1925 Southeast Marine Drive,2023-02-21,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9030,5.CD-1 Rezoning: 2518-2540 Grandview Highway South - Amendment,2023-02-14,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9031,5.CD-1 Rezoning: 2518-2540 Grandview Highway South,2023-02-14,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Temporary modular-housing lease extension,"Directs staff to renew or extend temporary modular-housing leases, find longer-term sites, and avoid a net loss of supportive-housing units while permanent housing is built.",2023-07-12,Fail,https://vancouver.citynews.ca/2023/07/13/vancouver-temporary-modular-housing-motion-voted-down/,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Absent,Supported,Supported,Supported,,
CouncilVote,11087,RR3. Zoning and Development By-law Amendment to Extend the Term of Development Permits for Temporary Modular Housing,2025-11-04,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
