Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
Vote,Hastings rapid-transit priority,Prioritizes rapid-transit planning along one of Vancouver's most congested corridors.,2023-10-04,Pass,https://globalnews.ca/news/10009462/vancouver-city-council-rapid-transit-hastings-corridor/,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Abstained,Opposed,Opposed,Opposed,,
CouncilVote,9515,"A2. Advancing Bus Rapid Transit and Priority RapidBus Upgrade Projects in Vancouver to Support Complete Communities, Livability and Growth - A to C, and E",2023-10-04,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9516,"A2. Advancing Bus Rapid Transit and Priority RapidBus Upgrade Projects in Vancouver to Support Complete Communities, Livability and Growth - D",2023-10-04,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Abstain,In Opposition,In Opposition,In Opposition,,
,,,,,,,,,,,,,,,,,,
Vote,Water Street pedestrian pilot,"Tests a more pedestrian-oriented, car-free Water Street in Gastown.",2024-02-07,Pass,https://vancouver.citynews.ca/2024/02/07/vancouver-city-council-car-free-gastown/,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9792,R1. Gastown Summer 2024 Water Street Pedestrian Zone Pilot - Amendment,2024-02-07,,,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Opposition,In Opposition,In Opposition,In Favour,In Favour,In Favour,,
CouncilVote,9793,R1. Gastown Summer 2024 Water Street Pedestrian Zone Pilot,2024-02-07,,,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Granville-Robson scramble crossing,Approves a crossing where pedestrians can move through the intersection in every direction.,2023-10-17,Pass,https://vancouver.citynews.ca/2023/10/17/vancouver-pedestrian-scramble-granville-robson/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9534,R8. Piloting a Pedestrian Scramble Crossing in Vancouver - Amendment to the Amendment,2023-10-17,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9535,R8. Piloting a Pedestrian Scramble Crossing in Vancouver - Amended Amendment,2023-10-17,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9536,R8. Piloting a Pedestrian Scramble Crossing in Vancouver,2023-10-17,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Reintroduce two-way Beach Avenue,Supports restoring two-way vehicle traffic on Beach Avenue near Stanley Park.,2024-05-08,Pass,https://vancouver.citynews.ca/2024/05/16/vancouvers-beach-avenue-reopening-to-two-way-traffic/,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Opposed,Opposed,Opposed,Opposed,,
CouncilVote,9967,"R1. Imagine West End Waterfront Parks, Beaches, and Transportation Vision",2024-05-08,,,In Opposition,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Abstain,In Favour,In Favour,In Favour,,
CouncilVote,9968,"R1. Imagine West End Waterfront Parks, Beaches, and Transportation Vision",2024-05-08,,,In Opposition,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,In Favour,,
CouncilVote,9969,"R1. Imagine West End Waterfront Parks, Beaches, and Transportation Vision",2024-05-08,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,In Opposition,,
CouncilVote,9977,"R1. Imagine West End Waterfront Parks, Beaches, and Transportation Vision",2024-05-08,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,In Opposition,In Opposition,,
CouncilVote,9971,"R1. Imagine West End Waterfront Parks, Beaches, and Transportation Vision",2024-05-08,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Abstain,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,30 km/h on non-arterials,Assesses lowering local-street speeds to reduce collision frequency and severity.,2024-04-10,Pass,https://vancouver.citynews.ca/2024/04/10/petition-vancouver-bike-safety-city-council/,Absent,Supported,Supported,Supported,Supported,Absent,Supported,Absent,Supported,Supported,Supported,,
CouncilVote,9905,M3. Revisiting and Refreshing Vancouver's Commitment to Safer Slower Streets - Amendment,2024-04-10,,,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,Absent,In Favour,In Favour,In Favour,,
CouncilVote,9906,M3. Revisiting and Refreshing Vancouver's Commitment to Safer Slower Streets - Amended Motion,2024-04-10,,,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,Absent,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Citywide parking minimum removal,Eliminates mandatory minimum parking requirements for new development citywide.,2024-06-26,Pass,https://globalnews.ca/news/10590288/vancouver-parking-minimums/,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,10108,"2. Updates to the Parking By-Law in Response to Provincial Bills 44 and 47, and On-Street Parking Management",2024-06-26,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Shared e-scooter pilot,Authorizes Vancouver's first shared e-scooter program.,2024-07-10,Pass,https://www.cbc.ca/news/canada/british-columbia/vancouver-e-scooter-share-pilot-1.7263302,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Absent,,
CouncilVote,10141,R4. Contract Award for Shared E-Scooter System Operator,2024-07-10,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Dedicated bus lanes on priority routes,Commits the city to working toward dedicated lanes on priority bus corridors.,2024-07-24,Pass,https://vancouver.citynews.ca/2024/07/24/vancouver-city-council-bus-lanes-transit/,Absent,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,10177,A2. Taking Urgent Action to Boost Street Capacity and Speed up Transit Service for Vancouverites,2024-07-24,,,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,10178,A2. Taking Urgent Action to Boost Street Capacity and Speed up Transit Service for Vancouverites,2024-07-24,,,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Scale back Water Street pilot,Reduces the scope of the Water Street pedestrian program after the larger 2024 pilot.,2024-10-23,Pass,https://vancouver.citynews.ca/2024/09/03/gastown-water-street-cars-allowed/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Absent,,
CouncilVote,10274,R2. Gastown Water Street Pedestrian Zone Pilot Update,2024-10-23,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,,
CouncilVote,10275,R2. Gastown Water Street Pedestrian Zone Pilot Update,2024-10-23,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Safer Slower Streets,Approves a phased program to lower local-street speeds to 30 km/h.,2025-07-09,Pass,https://vancouver.citynews.ca/2025/07/09/vancouver-city-council-speed-limit-reduction-meeting/,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,Supported,Supported
CouncilVote,10838,R1. Safer Slower Streets,2025-07-09,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,UBCx commitment,Reaffirms support for extending rapid transit from UBC to the Millennium Line.,2025-10-08,Pass,https://council.vancouver.ca/20251008/documents/reguM5.pdf,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Absent,Supported,,,Supported,Supported
CouncilVote,11017,Motion 5. Next Stop UBC: A Call to Accelerate the Completion of the Broadway SkyTrain,2025-10-08,,,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,Absent,In Favour,,,In Favour,In Favour
CouncilVote,11018,Motion 5. Next Stop UBC: A Call to Accelerate the Completion of the Broadway SkyTrain,2025-10-08,,,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,Absent,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Priority snow removal on transit routes,Considers prioritizing snow clearing on routes heavily used by buses.,2026-02-04,Fail,https://council.vancouver.ca/20260204/documents/cfscM5.pdf,Opposed,Opposed,Opposed,Opposed,Opposed,Absent,Opposed,Absent,Absent,,,Supported,Supported
CouncilVote,11371,M5. Bus To Move: Prioritizing Transit Trouble Spots for Snow and Ice Removal,2026-02-04,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Opposition,Absent,Absent,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Dim bright headlights,Asks senior governments to address increasingly bright vehicle headlights.,2026-01-21,Pass,https://council.vancouver.ca/20260121/documents/pspc20260121min.pdf,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,Supported,Supported
CouncilVote,11310,Blinded by the Light: Improving Public Safety by Looking at Headlight Glare - Amendment to B,2026-01-21,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11311,Blinded by the Light: Improving Public Safety by Looking at Headlight Glare - Amendment to Add C,2026-01-21,,,In Favour,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11312,Blinded by the Light: Improving Public Safety by Looking at Headlight Glare - Final Motion,2026-01-21,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Car Free Day emergency grant,Provides emergency funding to preserve major car-free community events.,2026-03-10,Pass,https://council.vancouver.ca/20260310/documents/regu20260310min.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,Supported,Supported
CouncilVote,11449,Urgent Action to Save Car Free Days 2026 - AMENDMENT TO THE AMENDMENT,2026-03-10,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11450,Urgent Action to Save Car Free Days 2026 - AMENDED AMENDMENT,2026-03-10,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11451,Urgent Action to Save Car Free Days 2026 - FINAL MOTION AS AMENDED,2026-03-10,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,South Vancouver active-transportation pathway,Advances a transformative active-transportation pathway in South Vancouver.,2025-09-17,Pass,https://council.vancouver.ca/20250917/documents/pspcM1.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,,,Supported,Supported
CouncilVote,10961,Creating Connections: Advancing a Transformative Active Transportation Pathway in South Vancouver,2025-09-17,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,VGH bike-lane redesign,"Directs staff to continue work on options to reduce pedestrian, cycling, and emergency-vehicle conflicts at the VGH campus, including a possible bidirectional West 10th Avenue bike lane.",2026-07-14,Pass,https://www.dailyhive.com/vancouver/vancouver-city-council-2026-road-safety,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported
,,,,,,,,,,,,,,,,,,
Vote,Granville Street pedestrian-zone extension,Extends a pedestrianized Granville Street pilot beyond the FIFA World Cup period.,2025-02-27,Pass,https://council.vancouver.ca/20250227/documents/regu20250227min.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,,
CouncilVote,10545,Amendments to Street Vending By-law to Support Water Street Pedestrian Zone Pilot and Granville Public Realm Improvements,2025-02-27,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,,
,,,,,,,,,,,,,,,,,,
Vote,School active-travel planning,"Expands school travel planning to help more children walk, cycle, and roll to school.",2025-06-18,Pass,https://council.vancouver.ca/20250618/documents/cfsc20250618min.pdf,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,,,Supported,Supported
CouncilVote,10790,Motion 2. Expanding the School Travel Planning Program - First Clause of Amendment,2025-06-18,,,In Opposition,In Opposition,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,10791,Motion 2. Expanding the School Travel Planning Program - Second Clause of Amendment,2025-06-18,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,10792,Motion 2. Expanding the School Travel Planning Program - Amendment,2025-06-18,,,In Favour,In Opposition,Absent,In Favour,In Opposition,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,10793,Motion 2. Expanding the School Travel Planning Program - Motion as Amended,2025-06-18,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Fare-free transit route pilot,Asks senior governments to support a fare-free transit route pilot in Vancouver.,2025-12-10,Fail,https://council.vancouver.ca/20251210/documents/cfsc20251210min.pdf,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Absent,Absent,Supported,Absent,,Supported,Supported
CouncilVote,11255,Motion 7. Supporting a Fare-Free Transit Route Pilot in Vancouver,2025-12-10,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,Absent,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Right-turn-on-red safety study,Directs staff to study restricting right turns on red where they conflict with pedestrian and cycling movements.,2025-12-10,Pass,https://council.vancouver.ca/20251210/documents/cfscA4.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Absent,,Supported,Supported
CouncilVote,11256,Motion 8. Assessing Motor Vehicle Speeding Risk at Vancouver's Most Dangerous Intersections,2025-12-10,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Single-use cup fee repeal,"Repeals Vancouver's 25-cent single-use beverage cup fee, reducing a direct cost for customers.",2023-02-15,Pass,https://vancouver.citynews.ca/2023/02/15/vancouver-cup-fee-repealed-2/,,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Supported,,
CouncilVote,9044,Repealing Vancouver's Single-Use Beverage Cup Fee - Final Motion Clause 3,2023-02-15,,,Declared Conflict,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Single-use cup fee repeal,"Repeals Vancouver's 25-cent single-use beverage cup fee, reducing a direct cost for customers.",2023-02-15,Pass,https://vancouver.citynews.ca/2023/02/15/vancouver-cup-fee-repealed-2/,,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Supported,,
CouncilVote,9044,Repealing Vancouver's Single-Use Beverage Cup Fee - Final Motion Clause 3,2023-02-15,,,Declared Conflict,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Middle-income housing on City land,Directs the City to use its land and housing office to deliver more middle-income housing.,2023-11-15,Pass,https://vancouver.citynews.ca/2023/11/15/vancouver-housing-motion-mayor-sim/,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Absent,Supported,Supported,Supported,,
CouncilVote,9655,A5. Delivering a New Supply of Middle-Income Housing in Vancouver,2023-11-15,,,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,Absent,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Tenant Advocacy Office,Establishes a Tenant Advocacy Office to help renters understand and exercise their rights.,2025-06-04,Fail,https://vancouver.citynews.ca/2025/06/04/renter-office-motion-rejected/,Absent,Opposed,Opposed,Absent,Opposed,Opposed,Absent,Supported,Supported,,,Supported,Supported
CouncilVote,10761,Motion 2. Protecting Renters by Establishing a Tenant Advocacy Office,2025-06-04,,,Absent,In Opposition,In Opposition,Absent,In Opposition,In Opposition,Absent,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Jumpstarting rental housing,Calls for measures to restart rental-housing construction and improve project viability during a difficult market.,2025-06-18,Fail,https://dailyhive.com/vancouver/vancouver-development-cac-fees-deferral-housing-supply-slowdown-josh-white,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Supported,Supported,,,Supported,Supported
CouncilVote,10789,Motion 1. Jumpstarting Rental Housing: Bold Action to Boost Rental Housing Construction in Tough Economic Times - Main Motion,2025-06-18,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,$10-a-day childcare,Proposal to use city ownded land and rezonings to support $10-a-day childcare facilities.,2026-02-25,Fail,https://www.bcpovertyreduction.ca/advocacy-and-impact/call-to-action-recommit-to-10-a-day-childcare-in-vancouver,Opposed,Opposed,Opposed,Amended,Opposed,Opposed,Absent,Supported,Absent,,,Supported,Proposed
CouncilVote,11423,Motion6. Recommitting to $10 a Day Childcare - Amendment to Strike and Replace,2026-02-25,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,Absent,,,In Opposition,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Climate-smart renewable energy,Directs the City to increase its supply of climate-smart renewable energy.,2023-01-31,Pass,https://council.vancouver.ca/20230131/documents/ub1.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,8970,UB1. Increasing the Climate-Smart Supply of Renewable Energy in Vancouver,2023-01-31,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Climate Justice Charter,Adopts a Climate Justice Charter to connect climate action with equity and social justice.,2023-02-15,Pass,https://council.vancouver.ca/20230215/pspc20230215ag.htm,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Abstained,Abstained,Supported,,
CouncilVote,9037,A Climate Justice Charter for Vancouver - Final Amended Motion,2023-02-15,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Abstain,Abstain,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Climate-resilient multifamily buildings,Directs action to improve climate resilience and reduce emissions in existing multifamily buildings.,2023-04-12,Pass,https://dailyhive.com/vancouver/vancouver-building-home-air-conditioning-requirement,Absent,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9174,Improving Climate Resilience and Reducing Emissions in Existing Multi-Family Buildings (Membersâ€™ Motion B2),2023-04-12,,,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Climate-smart homes,"Directs measures to make homes healthier, more energy-efficient, and more resilient to climate change.",2023-05-31,Pass,https://vancouver.citynews.ca/2023/06/01/vancouver-natural-gas-ban-changes/,Supported,Supported,Supported,Absent,Supported,Supported,Absent,Supported,Opposed,Opposed,Absent,,
CouncilVote,9305,A2. Ensuring Healthier Climate-Smart Homes - Final Motion,2023-05-31,,,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,In Favour,In Opposition,In Opposition,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Campaign-financing disclosure compliance,Receives the report on candidates who failed to file campaign-financing disclosure statements after the 2022 general election.,2023-03-07,Pass,https://globalnews.ca/news/9810615/progress-vancouver-barred-from-2026-election-over-campaign-finance-violations/,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Absent,Absent,Supported,Supported,,
CouncilVote,9076,R3 Campaign Financing Disclosure Statements for 2022 General Election Local Election - Failure to File,2023-03-07,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,Absent,Absent,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Integrity Commissioner annual report,Reviews the Integrity Commissioner’s annual report and the operation of Vancouver’s Code of Conduct By-law.,2023-04-26,Pass,https://vancouver.citynews.ca/2023/10/08/integrity-comissioner-christine-boyle-ken-sim-complaint/,Absent,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,,
CouncilVote,9211,4. Annual Report of the Office of the Integrity Commissioner and Review of the Code of Conduct By-law,2023-04-26,,,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Integrity Commissioner sanctions,Endorses sanctions recommended in an Integrity Commissioner investigation report.,2023-10-31,Pass,https://vancouver.citynews.ca/2023/10/08/integrity-comissioner-christine-boyle-ken-sim-complaint/,,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,
CouncilVote,9598,R5. Decision Re: Integrity Commissioner Investigation Report,2023-10-31,,,Declared Conflict,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Declared Conflict,,
,,,,,,,,,,,,,,,,,,
Vote,Council compensation disclosure,Requires public disclosure of total compensation received by Council members from taxpayer-funded and external sources.,2025-09-17,Pass,https://vancouver.citynews.ca/2025/09/17/vancouver-mayor-ken-sim-pushes-for-compensation-transparency/,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Absent,Supported,,,Supported,Supported
CouncilVote,10970,Strengthening Public Trust and Transparency Through Full Disclosure of Total Council Compensation - Final Motion as Amended,2025-09-17,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,Absent,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,VanStat accountability pilot,Creates a pilot program using public performance tracking and regular review meetings to improve City-service accountability.,2025-10-08,Pass,https://council.vancouver.ca/20251008/documents/cfscmotion2.pdf,Supported,Supported,Supported,Absent,Supported,Supported,Absent,Supported,Abstained,,,Opposed,Opposed
CouncilVote,11013,"Motion 2. VanStat: A Pilot Program for Smart, Transparent, and Accountable City Services",2025-10-08,,,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,In Favour,Abstain,,,In Opposition,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Official Development Plan,"Adopts Vancouver's long-term citywide land-use framework, guiding where housing, jobs, transportation, parks, and infrastructure can grow over the next 30 years.",2026-03-11,Pass,https://www.cbc.ca/news/canada/british-columbia/vancouver-development-plan-public-hearing-9.7120814,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Absent,Supported,,,Supported,Supported
CouncilVote,11475,1. City of Vancouver Official Development Plan - Final motion as amended,2026-03-11,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,Ineligible,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Holborn multi-block downtown redevelopment,"Approves a multi-block downtown redevelopment with three high-rise towers, a 920-room hotel, commercial space, and a linked 237-unit social-housing project at 388 Abbott Street.",2026-07-27,Pass,https://www.biv.com/news/economy-law-politics/vancouver-council-votes-7-3-to-approve-holborns-multi-block-development-12598791,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Opposed,,,Opposed,Opposed
,,,,,,,,,,,,,,,,,,
Vote,Holborn multi-block downtown redevelopment,"Approves a multi-block downtown redevelopment with three high-rise towers, a 920-room hotel, commercial space, and a linked 237-unit social-housing project at 388 Abbott Street.",2026-07-27,Pass,https://www.biv.com/news/economy-law-politics/vancouver-council-votes-7-3-to-approve-holborns-multi-block-development-12598791,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Opposed,,,Opposed,Opposed
,,,,,,,,,,,,,,,,,,
Vote,25-storey West End hotel rezoning referral,Considers a rezoning for a 25-storey hotel with restaurant space at 2028–2038 Barclay Street in the West End.,2026-03-12,Pass,https://www.ctvnews.ca/vancouver/article/vancouver-city-council-to-vote-on-25-storey-west-end-hotel-rezoning-project/,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Absent,,,Opposed,Supported
CouncilVote,11476,5. CD-1 Rezoning: 2028-2038 Barclay Street,2026-03-12,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,Absent,,,In Opposition,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Floating hotel at Canada Place,"Amends zoning to permit a 250-room floating hotel, new dock, public walkway, and commercial uses beside the Vancouver Convention Centre.",2026-04-14,Pass,https://vancouver.citynews.ca/video/2026/04/15/vancouver-city-council-approves-floating-hotel/,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,,,Supported,Opposed
CouncilVote,11538,CD-1 (363) Text Amendment: 1055-1085 Canada Place and 1001-1045 West Waterfront Road,2026-04-14,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,,,In Favour,In Opposition
,,,,,,,,,,,,,,,,,,
