Vote,Category,Date,Desired,Outcome,Weight,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr,News Link
Broadway Bike Lane,Cycling,2023,Pass,Failed,,Opposed,Killed,Absent,Opposed,Opposed,Opposed,Opposed,Absent,Supported,Supported,Proposed,,,
30 or 40 km/h speed limts,"Cycling, Safety",2026,Pass,Failed (Ammended to Kill),,Absent,Opposed,Opposed,Opposed,Opposed,Amend to Oppose,Opposed,Supported,Absent,,,Supported,Supported,https://www.cbc.ca/news/canada/british-columbia/vancouver-council-vision-zero-speed-reduction-9.7231135
Removing Beach Ave Bike Lane,Cycling,May 2024,Fail,Passed (but prevented by park board),,Supported,Absent,Proposed,Supported,Supported,Supported,Supported,Opposed,Opposed,Opposed,Amend to Oppose,,,https://globalnews.ca/news/10491499/cycling-advocates-criticize-vancouvers-west-end-revitalization/
Intersection Safety Cameras ,Safety,Nov 2023,Pass,Failed (Ammended to Kill),,Opposed,Amend to Oppose,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Supported,Supported,Proposed,,,https://www.cbc.ca/news/canada/british-columbia/christine-boyle-speed-cameras-motion-amended-road-safety-1.7016442
Villages Plan,Housing,Jul 2026,Pass,Failed,,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,,,Supported,Opposed,https://www.cbc.ca/news/canada/british-columbia/vancouver-council-rejects-villages-plan-9.7288472
